DF#,City,County,State,TweetLoc,RatioFuzzy
1150,wister,le flore,oklahoma, oklahoma,100
1151,tanana,yukon koyukuk,alaska,nan,100
1152,tanana,yukon koyukuk,alaska,nan,100
1153,la canada flintridge,los angeles,california, canada,100
1154,truckee,nevada,california, nova,80
1155,gabbs,nye,nevada, ny,100
1156,fpo,nan, , #prolife #nra #israel,56
1157,nardin,kay,oklahoma, indiana  oklahoma  indiana,74
1158,tanana,yukon koyukuk,alaska,nan,100
1159,alamo,wheeler,georgia, whereeveriwant2b,61
1160,ambler,northwest arctic,alaska, northwest usa,86
1161,truckee,nevada,california, nevada,100
1162,wellington,sumner,kansas, travelling in se asia,64
1163,tanana,yukon koyukuk,alaska,nan,100
1164,north charleston,charleston,south carolina, north carolina at present,65
1165,new brunswick,middlesex,new jersey, new jersey,100
1166,tanana,yukon koyukuk,alaska,nan,100
1167,tanana,yukon koyukuk,alaska,nan,100
1168,tanana,yukon koyukuk,alaska,nan,100
1169,tanana,yukon koyukuk,alaska,nan,100
1170,west chicago,dupage,illinois, chicagomiami,69
1171,shasta lake,shasta,california, left coast,64
1172,tanana,yukon koyukuk,alaska,nan,100
1173,keystone heights,clay,florida, ocala fl,78
1174,tanacross,southeast fairbanks,alaska, u.s. southeast,73
1175,quail,collingsworth,texas, north texas,83
1176,wilder,overton,tennessee, tennessee usa,83
1177,hopkinton,washington,rhode island, hopkinton nh.,79
1178,tanana,yukon koyukuk,alaska,nan,100
1179,niwot,boulder,colorado, boulder co,100
1180,tanana,yukon koyukuk,alaska,nan,100
1181,tanana,yukon koyukuk,alaska,nan,100
1182,kosrae,federated states of micro,micronesia, united states,71
1183,reading,berks,pennsylvania, pennsylvania usa,87
1184,kosrae,federated states of micro,micronesia, united states,71
1185,tanana,yukon koyukuk,alaska,nan,100
1186,tanana,yukon koyukuk,alaska,nan,100
1187,tanana,yukon koyukuk,alaska,nan,100
1188,san juan bautista,san benito,california, beautiful usa,64
1189,new london,rusk,texas, london,100
1190,atqasuk,north slope,alaska, ord,75
1191,tanana,yukon koyukuk,alaska,nan,100
1192,tanana,yukon koyukuk,alaska,nan,100
1193,tanana,yukon koyukuk,alaska,nan,100
1194,west new york,hudson,new jersey, new york usa,85
1195,brandon,minnehaha,south dakota, brandon ms,82
1196,tanana,yukon koyukuk,alaska,nan,100
1197,saint george,washington,utah, washington state,85
1198,kosrae,federated states of micro,micronesia, upstate ny,64
1199,tanana,yukon koyukuk,alaska,nan,100
1200,tanacross,southeast fairbanks,alaska, u.s. southeast,73
1201,sunshine,iberville,louisiana, sunshine state,67
1202,tanana,yukon koyukuk,alaska,nan,100
1203,tanana,yukon koyukuk,alaska,nan,100
1204,tanana,yukon koyukuk,alaska,nan,100
1205,tanana,yukon koyukuk,alaska,nan,100
1206,tanana,yukon koyukuk,alaska,nan,100
1207,tanana,yukon koyukuk,alaska,nan,100
1208,tanana,yukon koyukuk,alaska,nan,100
1209,atlanta,dekalb,georgia, georgia,100
1210,tanana,yukon koyukuk,alaska,nan,100
1211,tanana,yukon koyukuk,alaska,nan,100
1212,culver city,los angeles,california, culver city ca,80
1213,tanana,yukon koyukuk,alaska,nan,100
1214,tanana,yukon koyukuk,alaska,nan,100
1215,lake arthur,chaves,new mexico, usa then heaven,63
1216,rose hill,butler,kansas, philly burbs,69
1217,corona,riverside,california, riverside ca,100
1218,pembroke,christian,kentucky, cardnation kentucky,77
1219,cabool,texas,missouri, texas usa,80
1220,port bolivar,galveston,texas, ga loves trump,60
1221,tanana,yukon koyukuk,alaska,nan,100
1222,mc clave,bent,colorado, bennett colorado,82
1223,discovery bay,contra costa,california, flyover country,63
1224,tanana,yukon koyukuk,alaska,nan,100
1225,new philadelphia,tuscarawas,ohio, philadelphia,100
1226,stuart,martin,florida, florida,100
1227,mancos,montezuma,colorado, a nice cozy pro-trump corner :),52
1228,tampa,hillsborough,florida, tampa fl,78
1229,tanana,yukon koyukuk,alaska,nan,100
1230,dallas,dallas,texas, dallastx,89
1231,tanana,yukon koyukuk,alaska,nan,100
1232,skagway,skagway,alaska, usa,75
1233,mount hermon,santa cruz,california, terminus,67
1234,kosrae,federated states of micro,micronesia, united states,71
1235,tanana,yukon koyukuk,alaska,nan,100
1236,skagway,skagway,alaska, usa,75
1237,yorkville,kendall,illinois, central illinois,82
1238,tanana,yukon koyukuk,alaska,nan,100
1239,roy,weber,utah, everywhere u.s.a.,57
1240,tanana,yukon koyukuk,alaska,nan,100
1241,alamo,wheeler,georgia, whereeveriwant2b,61
1242,tanana,yukon koyukuk,alaska,nan,100
1243,loa,wayne,utah, in my lane - #teamheidi,57
1244,farmington,san joaquin,california, fargond usa,67
1245,elmira,chemung,new york, new york,100
1246,temecula,riverside,california, temecula ca,75
1247,tanana,yukon koyukuk,alaska,nan,100
1248,warroad,roseau,minnesota, minnesota,100
1249,newman lake,spokane,washington, newnan ga,70
1250,florence,pinal,arizona, exceptional usa,63
1251,coal mountain,wyoming,west virginia, important swing state,64
1252,tanana,yukon koyukuk,alaska,nan,100
1253,york,sumter,alabama, alabama,100
1254,plush,lake,oregon, speak up take our country back,59
1255,warne,clay,north carolina, north carolina,100
1256,tanana,yukon koyukuk,alaska,nan,100
1257,kosrae,federated states of micro,micronesia, united states,71
1258,witts springs,searcy,arkansas, sf bay area,67
1259,juneau,juneau,alaska, nj,67
1260,bardwell,ellis,texas, #wellwell,70
1261,stamford,fairfield,connecticut, connecticut usa,86
1262,tanana,yukon koyukuk,alaska,nan,100
1263,yorba linda,orange,california, yorba linda ca,87
1264,tanana,yukon koyukuk,alaska,nan,100
1265,tanana,yukon koyukuk,alaska,nan,100
1266,tanana,yukon koyukuk,alaska,nan,100
1267,stuart,martin,florida, florida,100
1268,auburn,placer,california, auburn al,80
1269,breezy point,queens,new york, queens ny,90
1270,saint george,washington,utah, washington usa,93
1271,bull shoals,marion,arkansas, socal,83
1272,rocheport,boone,missouri, rochefort france,65
1273,beaumont,butler,kansas, beaumont tx,83
1274,denali national park,denali,alaska, pa,100
1275,ty ty,tift,georgia, georgia usa,80
1276,mid florida,seminole,florida, florida usa,83
1277,battle creek,madison,nebraska, battle creek mi,88
1278,new ulm,austin,texas, austin texas,100
1279,tanana,yukon koyukuk,alaska,nan,100
1280,tanana,yukon koyukuk,alaska,nan,100
1281,san jose,santa clara,california, cary nc,75
1282,edmond,oklahoma,oklahoma, edmond ok,90
1283,takoma park,montgomery,maryland, takoma park md,87
1284,atlanta,cass,texas, atlanta ga,82
1285,weiser,washington,idaho, washington dc,93
1286,wilder,overton,tennessee, tennessee usa,83
1287,skagway,skagway,alaska, usa,75
1288,vanceboro,craven,north carolina, raleigh north carolina,84
1289,milton freewater,umatilla,oregon, everywhere usa,60
1290,tanana,yukon koyukuk,alaska,nan,100
1291,skagway,skagway,alaska, usa,75
1292,las vegas,clark,nevada, vegas,100
1293,tanana,yukon koyukuk,alaska,nan,100
1294,kosrae,federated states of micro,micronesia, united states,71
1295,tanana,yukon koyukuk,alaska,nan,100
1296,tanana,yukon koyukuk,alaska,nan,100
1297,skagway,skagway,alaska, usa,75
1298,tanana,yukon koyukuk,alaska,nan,100
1299,tanana,yukon koyukuk,alaska,nan,100
1300,silverton,briscoe,texas, frisco tx,80
1301,palmdale,glades,florida, naples florida,80
1302,tanana,yukon koyukuk,alaska,nan,100
1303,tanana,yukon koyukuk,alaska,nan,100
1304,big indian,ulster,new york, indiana usa,83
1305,los alamos,los alamos,new mexico, global,71
1306,san antonio,bexar,texas, san antonio texas,83
1307,binghamton,broome,new york, binghamton ny,79
1308,tanana,yukon koyukuk,alaska,nan,100
1309,yemassee,hampton,south carolina, s. carolina,75
1310,pago pago,american samoa,american samoa, god bless america,61
1311,tanana,yukon koyukuk,alaska,nan,100
1312,hopewell,bedford,pennsylvania, hopewell furnace pa.,62
1313,north chicago,lake,illinois, chicago il,91
1314,new rochelle,westchester,new york, eastchester ny,87
1315,tanana,yukon koyukuk,alaska,nan,100
1316,north las vegas,clark,nevada, las vegas,100
1317,tanana,yukon koyukuk,alaska,nan,100
1318,tanana,yukon koyukuk,alaska,nan,100
1319,big indian,ulster,new york, indiana usa,83
1320,tanana,yukon koyukuk,alaska,nan,100
1321,san antonio,socorro,new mexico, socorro nm,91
1322,nine mile falls,spokane,washington, mi |-/,57
1323,welling,cherokee,oklahoma, here & now,64
1324,georgetown,cecil,maryland, maryland,100
1325,andover,essex,massachusetts, massachusetts,100
1326,tanana,yukon koyukuk,alaska,nan,100
1327,elmira,chemung,new york, new york,100
1328,tanana,yukon koyukuk,alaska,nan,100
1329,bryce,garfield,utah, clearfield ut,86
1330,salt lake city,salt lake,utah, salt lake,100
1331,tanana,yukon koyukuk,alaska,nan,100
1332,tanana,yukon koyukuk,alaska,nan,100
1333,warroad,roseau,minnesota, minnesota,100
1334,tanana,yukon koyukuk,alaska,nan,100
1335,harbor beach,huron,michigan, vero beach  from chicago,64
1336,encino,torrance,new mexico, torrance ca,83
1337,skagway,skagway,alaska, usa,75
1338,dallas,dallas,texas, dallas texas,100
1339,indianapolis,marion,indiana, indianapolis,92
1340,tanana,yukon koyukuk,alaska,nan,100
1341,south lake tahoe,el dorado,california, seattle - the emerald city,56
1342,powers,coos,oregon, power house of the cell,61
1343,tanana,yukon koyukuk,alaska,nan,100
1344,kosrae,federated states of micro,micronesia, united states,71
1345,tanana,yukon koyukuk,alaska,nan,100
1346,toronto,woodson,kansas, toronto,88
1347,anchorage,anchorage,alaska, kochwhore,60
1348,san leandro,alameda,california, san fernando valley ca,70
1349,boca raton,palm beach,florida, boca raton fl,86
1350,tanana,yukon koyukuk,alaska,nan,100
1351,kosrae,federated states of micro,micronesia, united states,71
1352,el paso,el paso,texas, texas,100
1353,tanana,yukon koyukuk,alaska,nan,100
1354,westfall,malheur,oregon, medford oregon,73
1355,weiser,washington,idaho, washington dc,93
1356,juneau,juneau,alaska, us,67
1357,tanana,yukon koyukuk,alaska,nan,100
1358,tanana,yukon koyukuk,alaska,nan,100
1359,west liberty,ohio,west virginia, ohio usa,78
1360,tanana,yukon koyukuk,alaska,nan,100
1361,weiser,washington,idaho, washington dc,93
1362,tanana,yukon koyukuk,alaska,nan,100
1363,tanana,yukon koyukuk,alaska,nan,100
1364,pilottown,plaquemines,louisiana, pottstown pa,77
1365,white earth,mountrail,north dakota, earth,100
1366,tanana,yukon koyukuk,alaska,nan,100
1367,cabool,texas,missouri, texas usa,80
1368,tanana,yukon koyukuk,alaska,nan,100
1369,north miami,ottawa,oklahoma, miami,100
1370,tanana,yukon koyukuk,alaska,nan,100
1371,tanana,yukon koyukuk,alaska,nan,100
1372,palomar mountain,san diego,california, ozark mountains,81
1373,tanana,yukon koyukuk,alaska,nan,100
1374,tanana,yukon koyukuk,alaska,nan,100
1375,palmdale,los angeles,california, los angeles california,100
1376,green river,sweetwater,wyoming, everywhere,64
1377,yeoman,carroll,indiana, indiana,100
1378,tanana,yukon koyukuk,alaska,nan,100
1379,zeigler,franklin,illinois, ill,100
1380,tanana,yukon koyukuk,alaska,nan,100
1381,beryl,iron,utah, gravel road ph: 10001110101,47
1382,orem,utah,utah, Üt: 35.991455-86.812637,21
1383,weiser,washington,idaho, washington dc,93
1384,tie plant,grenada,mississippi, the late great u.s.a,62
1385,virginia,saint louis,minnesota, virginia usa,85
1386,tanana,yukon koyukuk,alaska,nan,100
1387,dallas,dallas,texas, dallas tx,90
1388,white earth,mountrail,north dakota, earth,100
1389,willow wood,lawrence,ohio, ne ohio,88
1390,tanana,yukon koyukuk,alaska,nan,100
1391,tanana,yukon koyukuk,alaska,nan,100
1392,orlando,logan,oklahoma, orlando fl,82
1393,ulysses,butler,nebraska, nutley nj,70
1394,molalla,clackamas,oregon, la ca,83
1395,denver,denver,colorado, denver co,100
1396,yuba city,sutter,california, southern calif.,75
1397,skagway,skagway,alaska, usa,75
1398,skagway,skagway,alaska, usa,75
1399,warne,clay,north carolina, north carolina usa,88
1400,sells,pima,arizona, arizona usa,80
1401,big run,wetzel,west virginia, uniteblue.  west virginia,78
1402,pelican,hoonah angoon,alaska, eic,75
1403,tanana,yukon koyukuk,alaska,nan,100
1404,tanana,yukon koyukuk,alaska,nan,100
1405,frisco,collin,texas, frisco co,90
1406,kosrae,federated states of micro,micronesia, united states,71
1407,tanana,yukon koyukuk,alaska,nan,100
1408,tanana,yukon koyukuk,alaska,nan,100
1409,tanana,yukon koyukuk,alaska,nan,100
1410,palomar mountain,san diego,california, ozark mountains,81
1411,tanana,yukon koyukuk,alaska,nan,100
1412,shelton,buffalo,nebraska, buffalo ny,91
1413,tanana,yukon koyukuk,alaska,nan,100
1414,elmira,chemung,new york, new york,100
1415,midwest,natrona,wyoming, midwest,88
1416,tanana,yukon koyukuk,alaska,nan,100
1417,edinboro,erie,pennsylvania, edinboro pa,75
1418,tanana,yukon koyukuk,alaska,nan,100
1419,tanana,yukon koyukuk,alaska,nan,100
1420,east pittsburgh,allegheny,pennsylvania, pittsburgh,100
1421,denali national park,denali,alaska, pa,100
1422,hill city,camas,idaho, nampa idaho,83
1423,starbuck,columbia,washington, columbia sc,83
1424,tanana,yukon koyukuk,alaska,nan,100
1425,mount auburn,benton,iowa, auburn me,90
1426,tanana,yukon koyukuk,alaska,nan,100
1427,kosrae,federated states of micro,micronesia,  state,86
1428,pago pago,american samoa,american samoa, america,100
1429,tanana,yukon koyukuk,alaska,nan,100
1430,tanana,yukon koyukuk,alaska,nan,100
1431,tanana,yukon koyukuk,alaska,nan,100
1432,anchorage,anchorage,alaska, anywhere usa,62
1433,tanana,yukon koyukuk,alaska,nan,100
1434,hialeah,miami-dade,florida, hialeah fl,73
1435,richburg,chester,south carolina, hater s not welcome,60
1436,tanana,yukon koyukuk,alaska,nan,100
1437,midwest,natrona,wyoming, midwest,88
1438,new london,rusk,texas, london,100
1439,tanana,yukon koyukuk,alaska,nan,100
1440,tanana,yukon koyukuk,alaska,nan,100
1441,tanana,yukon koyukuk,alaska,nan,100
1442,tanana,yukon koyukuk,alaska,nan,100
1443,tanana,yukon koyukuk,alaska,nan,100
1444,kosrae,federated states of micro,micronesia, united states of america,72
1445,de armanville,calhoun,alabama, trumpville,73
1446,tanana,yukon koyukuk,alaska,nan,100
1447,san antonio,bexar,texas, san antonio texas,83
1448,phoenix,jackson,oregon, phoenix az,82
1449,tanana,yukon koyukuk,alaska,nan,100
1450,point reyes station,marin,california, texas in rwnj country,55
1451,tanana,yukon koyukuk,alaska,nan,100
1452,tampa,hillsborough,florida, tampa fl,78
1453,mid florida,seminole,florida, florida usa,83
1454,crp christi,nueces,texas, future christen noel c grace,58
1455,west liberty,ohio,west virginia, ohio usa,78
1456,waukesha,waukesha,wisconsin, waukesha wisconsin,100
1457,johnson creek,jefferson,wisconsin, johns creek ga,80
1458,newport beach,orange,california, newport beach ca,88
1459,zeigler,franklin,illinois, illinois,100
1460,atqasuk,north slope,alaska, tn,67
1461,wolf lake,union,illinois, lake county illinois,83
1462,west lafayette,tippecanoe,indiana, nw indiana,82
1463,new virginia,warren,iowa, virginia,100
1464,warren,tyler,texas, tyler tx,89
1465,cabool,texas,missouri, texas usa,80
1466,tanana,yukon koyukuk,alaska,nan,100
1467,skagway,skagway,alaska, usa,75
1468,tanana,yukon koyukuk,alaska,nan,100
1469,corinth,saratoga,new york, corinth ms.,75
1470,warne,clay,north carolina, north carolina,100
1471,westmorland,imperial,california, world wide,64
1472,haines,haines,alaska, nunyabizness,54
1473,white cloud,doniphan,kansas, the cloud,80
1474,tanana,yukon koyukuk,alaska,nan,100
1475,tanana,yukon koyukuk,alaska,nan,100
1476,tanana,yukon koyukuk,alaska,nan,100
1477,loa,wayne,utah, in my lane - #teamheidi,57
1478,tanana,yukon koyukuk,alaska,nan,100
1479,yemassee,hampton,south carolina, south carolina,100
1480,skagway,skagway,alaska, usa,75
1481,kosrae,federated states of micro,micronesia, united states,71
1482,tanana,yukon koyukuk,alaska,nan,100
1483,springfield,conway,arkansas, conway ar,100
1484,tanana,yukon koyukuk,alaska,nan,100
1485,rose hill,butler,kansas, philly burbs,69
1486,tanana,yukon koyukuk,alaska,nan,100
1487,ace,polk,texas, state of texas,77
1488,tanana,yukon koyukuk,alaska,nan,100
1489,wolf lake,union,illinois, lake county illinois,83
1490,otter creek,levy,florida, hunters creek fl,71
1491,seattle,king,washington, seattle wa,73
1492,charlo,lake,montana, chicago at the moment then tx.,58
1493,tanana,yukon koyukuk,alaska,nan,100
1494,tanana,yukon koyukuk,alaska,nan,100
1495,tanana,yukon koyukuk,alaska,nan,100
1496,ty ty,tift,georgia, georgia usa,80
1497,tanana,yukon koyukuk,alaska,nan,100
1498,cabool,texas,missouri, texas usa,80
1499,pawnee city,pawnee,nebraska, wwe city,78
1500,tanana,yukon koyukuk,alaska,nan,100
1501,lakeshore,polk,florida, blackshear ga/ floridian,68
1502,new braintree,worcester,massachusetts, braintree ma,85
1503,white earth,mountrail,north dakota, earth,100
1504,tanana,yukon koyukuk,alaska,nan,100
1505,tanana,yukon koyukuk,alaska,nan,100
1506,cabool,texas,missouri, texas usa,80
1507,tanana,yukon koyukuk,alaska,nan,100
1508,southold,suffolk,new york, southold ny,75
1509,discovery bay,contra costa,california, flyover country,63
1510,whitney,dawes,nebraska, nebraska,100
1511,philadelphia,marion,missouri, greater philadelphia area pa,67
1512,fort lauderdale,broward,florida, ft lauderdale florida,73
1513,tanana,yukon koyukuk,alaska,nan,100
1514,miami,colfax,new mexico, miami fl,78
1515,tanana,yukon koyukuk,alaska,nan,100
1516,wilder,overton,tennessee, tennessee usa,83
1517,tanana,yukon koyukuk,alaska,nan,100
1518,manhattan,nye,nevada, manhattan ny,92
1519,stamps,lafayette,arkansas, lafayette la,92
1520,tanana,yukon koyukuk,alaska,nan,100
1521,tanana,yukon koyukuk,alaska,nan,100
1522,bayard,morrill,nebraska, nebraska usa,82
1523,phoenix,jackson,oregon, phoenix az,82
1524,new almaden,santa clara,california, alabama usa,67
1525,greensboro bend,orleans,vermont, bend or,100
1526,zahl,williams,north dakota, north dakota usa,87
1527,tanana,yukon koyukuk,alaska,nan,100
1528,tanana,yukon koyukuk,alaska,nan,100
1529,huron,erie,ohio, #21stcenturyconservative,53
1530,point lay,north slope,alaska, la,100
1531,rome,henry,iowa, i am here where i am.,60
1532,fort wainwright,fairbanks north star,alaska, wien,80
1533,cabool,texas,missouri, texas usa,80
1534,wildwood,sumter,florida, southwest floridae,70
1535,trinity center,trinity,california, #trumptrain,58
1536,tanana,yukon koyukuk,alaska,nan,100
1537,wister,le flore,oklahoma, oklahoma,100
1538,salem,utah,utah, nj- u got a problem with that?,60
1539,york,sumter,alabama, alabama,100
1540,atlanta,cass,texas, atlanta ga,82
1541,tanana,yukon koyukuk,alaska,nan,100
1542,tanana,yukon koyukuk,alaska,nan,100
1543,tinian,northern mariana islands,northern marianas, southern command,65
1544,battlement mesa,garfield,colorado, meath ireland,64
1545,tanana,yukon koyukuk,alaska,nan,100
1546,luray,chester,tennessee, east tennessee,87
1547,highland park,middlesex,new jersey, new jersey usa,85
1548,ty ty,tift,georgia, georgia usa,80
1549,atlanta,logan,illinois, atlanta  ga,83
1550,warne,clay,north carolina, north carolina usa,88
1551,kosrae,federated states of micro,micronesia, united states,71
1552,tanana,yukon koyukuk,alaska,nan,100
1553,tanana,yukon koyukuk,alaska,nan,100
1554,benton,mono,california, cape breton nova scotia,65
1555,rising sun,ohio,indiana, ohio,100
1556,new london,henry,iowa, london somewhere,65
1557,weyanoke,west feliciana,louisiana, key west fl,83
1558,panama,lancaster,nebraska, pelham/alabaster,65
1559,seaside heights,ocean,new jersey, seaside heightsnj usa,77
1560,deering,mchenry,north dakota, somewhere in the north.,58
1561,tanana,yukon koyukuk,alaska,nan,100
1562,denali national park,denali,alaska, pa,100
1563,san antonio,bexar,texas, san antonio tx,87
1564,coffman cove,prince of wales hyder,alaska, convergence zone wa,70
1565,tanana,yukon koyukuk,alaska,nan,100
1566,vail,eagle,colorado, colorado usa,82
1567,woodsboro,frederick,maryland, frederick md,92
1568,rising sun,ohio,indiana, ohio,100
1569,edna,jackson,texas, jackson ms 601-405-9622,56
1570,pyote,ward,texas, fort worth texas  (#dfw #tx),69
1571,tanana,yukon koyukuk,alaska,nan,100
1572,atlanta,dekalb,georgia, georgia,100
1573,tanana,yukon koyukuk,alaska,nan,100
1574,tanana,yukon koyukuk,alaska,nan,100
1575,oklahoma city,oklahoma,oklahoma, oklahoma city ok,94
1576,tanana,yukon koyukuk,alaska,nan,100
1577,knoxville,knox,illinois, knoxville tn,85
1578,weiser,washington,idaho, washington dc,93
1579,tanana,yukon koyukuk,alaska,nan,100
1580,tanana,yukon koyukuk,alaska,nan,100
1581,chandler,murray,minnesota, chandler az usa,69
1582,tanana,yukon koyukuk,alaska,nan,100
1583,tanana,yukon koyukuk,alaska,nan,100
1584,tanana,yukon koyukuk,alaska,nan,100
1585,warner robins,houston,georgia, river oaks houston,74
1586,tanana,yukon koyukuk,alaska,nan,100
1587,tanana,yukon koyukuk,alaska,nan,100
1588,yeoman,carroll,indiana, indiana,100
1589,tanana,yukon koyukuk,alaska,nan,100
1590,tanana,yukon koyukuk,alaska,nan,100
1591,south bend,young,texas, look behind you,63
1592,west liberty,ohio,west virginia, ohio usa,78
1593,west oneonta,otsego,new york, oneonta ny,82
1594,dammeron valley,washington,utah, langley washington,84
1595,tanana,yukon koyukuk,alaska,nan,100
1596,portola,plumas,california, alta loma california,81
1597,republic,ferry,washington, people's republic of broward,59
1598,tanana,yukon koyukuk,alaska,nan,100
1599,selawik,northwest arctic,alaska, pacific northwest,67
1600,tanana,yukon koyukuk,alaska,nan,100
1601,somerset,orange,virginia, orange virginia,100
1602,tanana,yukon koyukuk,alaska,nan,100
1603,tanana,yukon koyukuk,alaska,nan,100
1604,saxeville,waushara,wisconsin, seaview wa  usa,69
1605,southborough,worcester,massachusetts, worcester massachusetts usa,92
1606,ventnor city,atlantic,new jersey, atl,100
1607,coin,page,iowa, wi 5th congressional district,57
1608,kosrae,federated states of micro,micronesia, united states,71
1609,midwest,natrona,wyoming, mid west,78
1610,elmira,chemung,new york, new york,100
1611,kosrae,federated states of micro,micronesia, united states,71
1612,tanana,yukon koyukuk,alaska,nan,100
1613,whitefish,flathead,montana, montana,100
1614,west new york,hudson,new jersey, new york usa,85
1615,san francisco,san francisco,california, san francisco,100
1616,tanana,yukon koyukuk,alaska,nan,100
1617,kosrae,federated states of micro,micronesia, united states,71
1618,tanana,yukon koyukuk,alaska,nan,100
1619,skagway,skagway,alaska, usa,75
1620,clearlake park,lake,california, the prok (kalifornia),73
1621,tanana,yukon koyukuk,alaska,nan,100
1622,elk mound,dunn,wisconsin, boandsunny,64
1623,atlanta,cass,texas, atlanta ga,82
1624,white stone,spartanburg,south carolina, monroe twp nj spartanburg sc,66
1625,tanana,yukon koyukuk,alaska,nan,100
1626,tanana,yukon koyukuk,alaska,nan,100
1627,stonewall,de soto,louisiana, st. louis,80
1628,tanana,yukon koyukuk,alaska,nan,100
1629,suburb maryland fac,montgomery,maryland, maryland usa,85
1630,minneapolis,ottawa,kansas, minneapolis,92
1631,somerset,orange,virginia, orange virginia,100
1632,tanana,yukon koyukuk,alaska,nan,100
1633,tanana,yukon koyukuk,alaska,nan,100
1634,tanana,yukon koyukuk,alaska,nan,100
1635,tanana,yukon koyukuk,alaska,nan,100
1636,tanana,yukon koyukuk,alaska,nan,100
1637,tanana,yukon koyukuk,alaska,nan,100
1638,asotin,asotin,washington, washington d.c.,81
1639,montreal,camden,missouri, montreal,89
1640,tanana,yukon koyukuk,alaska,nan,100
1641,bennington,switzerland,indiana, binningen schweiz,67
1642,yeoman,carroll,indiana, india,100
1643,kosrae,federated states of micro,micronesia, united states,71
1644,coupeville,island,washington, trumpville usa,67
1645,travelers rest,greenville,south carolina, greenville south carolina,100
1646,tanana,yukon koyukuk,alaska,nan,100
1647,west new york,hudson,new jersey, new york usa,85
1648,skagway,skagway,alaska, usa,75
1649,tanana,yukon koyukuk,alaska,nan,100
1650,tanana,yukon koyukuk,alaska,nan,100
1651,tanana,yukon koyukuk,alaska,nan,100
1652,tanana,yukon koyukuk,alaska,nan,100
1653,tanana,yukon koyukuk,alaska,nan,100
1654,tanana,yukon koyukuk,alaska,nan,100
1655,tanana,yukon koyukuk,alaska,nan,100
1656,tanana,yukon koyukuk,alaska,nan,100
1657,tanana,yukon koyukuk,alaska,nan,100
1658,tanana,yukon koyukuk,alaska,nan,100
1659,tanana,yukon koyukuk,alaska,nan,100
1660,tanana,yukon koyukuk,alaska,nan,100
1661,wilder,overton,tennessee, tennessee,100
1662,vail,eagle,colorado, colorado,100
1663,tanana,yukon koyukuk,alaska,nan,100
1664,lee,strafford,new hampshire, united states - new hampshire,72
1665,lee,strafford,new hampshire, united states - new hampshire,72
1666,ketchikan,ketchikan gateway,alaska, ,100
1667,parmele,martin,north carolina, virginia/north carolina ,77
1668,early,brown,texas, michigan formerly brooklyn ny,59
1669,ketchikan,ketchikan gateway,alaska, ,100
1670,fort washakie,fremont,wyoming, sharia-free zone,59
1671,eva,morgan,alabama, god bless the usa and alabama,72
1672,ketchikan,ketchikan gateway,alaska, ,100
1673,kosrae,federated states of micro,micronesia, united states,71
1674,cross plains,dane,wisconsin,   ?coastal plains nc??,57
1675,port charlotte,charlotte,florida, charlotte nc,92
1676,ketchikan,ketchikan gateway,alaska, ,100
1677,lake in the hills,mchenry,illinois, in the boonies,67
1678,california,saint marys,maryland, california usa,87
1679,fort lauderdale,broward,florida, fort lauderdale fl,84
1680,fort hunter,montgomery,new york, united kingdom,67
1681,ketchikan,ketchikan gateway,alaska, ,100
1682,ketchikan,ketchikan gateway,alaska, ,100
1683,ketchikan,ketchikan gateway,alaska, ky,67
1684,ketchikan,ketchikan gateway,alaska, ,100
1685,mid florida,seminole,florida, florida usa,83
1686,kosrae,federated states of micro,micronesia, united states,71
1687,skagway,skagway,alaska, usa,75
1688,travelers rest,greenville,south carolina, greenville sc,93
1689,mount sidney,augusta,virginia, sydney australia,71
1690,ketchikan,ketchikan gateway,alaska, ,100
1691,ketchikan,ketchikan gateway,alaska, ,100
1692,atlanta,cass,texas, atlanta ga,82
1693,new philadelphia,tuscarawas,ohio, new delhi delhi,69
1694,tsaile,apache,arizona, arizona,100
1695,new england,hettinger,north dakota, new england ,92
1696,ketchikan,ketchikan gateway,alaska, ,100
1697,bloomington,bear lake,idaho, soon to be released,60
1698,ketchikan,ketchikan gateway,alaska, ,100
1699,pago pago,american samoa,american samoa, american born,79
1700,east bernard,wharton,texas, east england,69
1701,lula,hall,georgia, build that wall god bless you,59
1702,ketchikan,ketchikan gateway,alaska, ,100
1703,vail,eagle,colorado, colorado,100
1704,ketchikan,ketchikan gateway,alaska, ,100
1705,point baker,prince of wales hyder,alaska, prnj,80
1706,atlanta,cass,texas, atlanta ga,82
1707,jayton,kent,texas, kent,100
1708,new london,rusk,texas, london,100
1709,ketchikan,ketchikan gateway,alaska, ,100
1710,atlanta,cass,texas, atlanta ga,82
1711,albuquerque,bernalillo,new mexico, albuquerque nm ,81
1712,ketchikan,ketchikan gateway,alaska, ,100
1713,california,saint marys,maryland, california usa,87
1714,new london,kandiyohi,minnesota, london england,73
1715,ketchikan,ketchikan gateway,alaska, ,100
1716,new london,rusk,texas, london,100
1717,new london,rusk,texas, london,100
1718,land o lakes,vilas,wisconsin, land o lakes fl,88
1719,new hampshire,auglaize,ohio, hampshire uk,92
1720,sorrento,lake,florida, sorrento fl,83
1721,white pine,ontonagon,michigan, michigan,100
1722,fort bridger,uinta,wyoming, near the *ok=tx* border out in the wild wild west,58
1723,new england,hettinger,north dakota, england united kingdom,61
1724,north chicago,lake,illinois, chicago il,91
