SN,ID,NAME,FinalCounty,Location1,Location2,,,,,,
4347,2883032281, Jumbacos , Ellensburg WA, Ellensburg, WA,,,,,,
4348,128353568, chipmunkedy , Boston, Boston,,,,,,,
4349,21706872, Chiara09 , Seattle, Seattle,,,,,,,
4350,17900785, insultant , Infinity and Beyond!, Infinity and Beyond!,,,,,,,
4351,42102154, manish_vij , SF Bay Area, SF Bay Area,,,,,,,
4352,21906070, Kegan05 , Northwest USA, Northwest USA,,,,,,,
4353,1119327475, MCPR1_1 , Iowa except in August, Iowa, except in August,,,,,,
4354,512491074, mattclementsjr , Seattle WA, Seattle, WA,,,,,,
4355,329688737, cbinflux , Mid-South, Mid-South,,,,,,,
4357,922213946, sotexmum , south tx, south tx,,,,,,,
4358,139762047, PegsKatzencats , Houston Tx. USA, Houston, Tx. USA,,,,,,
4359,70860468, 1artniece2 , Texas, Texas,,,,,,,
4360,323178643, MssLiberty , , ,,,,,,,
4361,2777483470, 1204atlanta , , ,,,,,,,
4362,3496653913, PaulaRh65216681 , , ,,,,,,,
4363,3316592987, tangoAzul925 , Florida USA, Florida, USA,,,,,,
4364,18855508, HarringtonC3 , , ,,,,,,,
4366,2393356688, taylorrda_ann , Murrieta CA, Murrieta, CA,,,,,,
4367,11622712, 0boy , Orange County CA, Orange County, CA,,,,,,
4368,276014492, boffchops , #Cymru #PaleBlueDot #Cosmos , #Cymru #PaleBlueDot #Cosmos ,,,,,,,
4369,539699081, SusanDanzig219 , Chicago, Chicago,,,,,,,
4370,2840103078, Michael_EPorter , Delhi The Stolen City, Delhi, The Stolen City,,,,,,
4371,4912725674, eye2winner , Colorado City AZ, Colorado City, AZ,,,,,,
4372,114043423, christal_watts , Campbell CA, Campbell, CA,,,,,,
4373,23023076, TednLinda , Ferndale Pa, Ferndale, Pa,,,,,,
4374,15978136, HateTheseFools , In my skin, In my skin,,,,,,,
4375,591114778, IBeenCrowned , Anime, Anime,,,,,,,
4376,3316592987, tangoAzul925 , Florida USA, Florida, USA,,,,,,
4377,489732475, iloverockchalk , , ,,,,,,,
4378,4258742080, Smallfindings , , ,,,,,,,
4379,114043423, christal_watts , Campbell CA, Campbell, CA,,,,,,
4380,3458917277, KenYounos , , ,,,,,,,
4381,12230992, Amy_Chance , Sacramento, Sacramento,,,,,,,
4382,3329715436, DHecei , , ,,,,,,,
4383,4512063372, JohnKuckich , , ,,,,,,,
4384,247182392, A22523 , USA.., USA..,,,,,,,
4385,211068552, CIndyStarbuck , , ,,,,,,,
4386,1638557024, Awhite49 , Mobile AL, Mobile, AL,,,,,,
4387,2846552432, GlennSilva76 , hawaii, hawaii,,,,,,,
4388,19084916, Jcicely , Seattle WA, Seattle, WA,,,,,,
4389,4459914972, JeffieKakes , Bay Area CA, Bay Area, CA,,,,,,
4390,3316592987, tangoAzul925 , Florida USA, Florida, USA,,,,,,
4391,3713817617, whyyy_lucky , , ,,,,,,,
4392,475409039, Mary_Yoder_Cruz , New Mexico USA, New Mexico, USA,,,,,,
4393,2396738862, connie_rodeconn , Sargent Texas, Sargent, Texas,,,,,,
4394,107562348, PecosRoyBean , Texas West of the Pecos, Texas West of the Pecos,,,,,,,
4395,931310701, vividiaz1126 , miami fl, miami, fl,,,,,,
4396,110754005, ItsMitchTRICK , NYC LA CHI, NYC LA CHI,,,,,,,
4397,119295989, Gilcoleman , Brazil and Germany, Brazil and Germany,,,,,,,
4398,322934616, FreeInTX , Austin Texas, Austin, Texas,,,,,,
4399,3232895802, TeaParty4Cruz , United States, United States,,,,,,,
4400,3153844428, rharrisonfries , HollywoodChicagoHouston, Hollywood,Chicago,Houston,,,,,
4401,1904471768, DottieFincham , , ,,,,,,,
4402,282211632, sjgarvey , Canada, Canada,,,,,,,
4403,168804714,58163, Georgia USA, Georgia, USA,,,,,,
4404,41734250, xxskifast , , ,,,,,,,
4405,931310701, vividiaz1126 , miami fl, miami, fl,,,,,,
4406,284346498, coolhand_le_Luk , Around Yo Momma's Shoulders , Around Yo Momma's Shoulders ,,,,,,,
4407,1703908958, anastasialie83 , need mobility devices?, need mobility devices?,,,,,,,
4408,946730203, BLARGEN69 , Torvus Bog, Torvus Bog,,,,,,,
4409,83303123, BillSFrank , Suburban Chicago IL, Suburban Chicago, IL,,,,,,
4410,228791219, chezamission , Australia, Australia,,,,,,,
4411,3579093494, kingdamien3 , , ,,,,,,,
4412,4239798201, BillWeb47353619 , , ,,,,,,,
4413,49658481, Fificats , Florida USA, Florida, USA,,,,,,
4414,192862672, bankinformer , , ,,,,,,,
4415,535675339, mielewealth , Pennsylvania USA, Pennsylvania, USA,,,,,,
4416,68095519, royale333 , Fort Worth TX, Fort Worth, TX,,,,,,
4417,19220761, Shaftan , The American Sector of America, The American Sector of America,,,,,,,
4418,3260095424, pressin4secessn , Dallas TX, Dallas, TX,,,,,,
4419,16043254, sharonreader , San Francisco Bay Area, San Francisco Bay Area,,,,,,,
4420,13018052, chenx064 , , ,,,,,,,
4421,4351416912, Oldfolksmatter , , ,,,,,,,
4422,3614741183, MooreResolute , South Carolina USA, South Carolina, USA,,,,,,
4423,216032542, CathySullPA , Annie's Orchids PA, Annie's Orchids, PA,,,,,,
4424,765323426, KTG002 , The Netherlands, The Netherlands,,,,,,,
4425,3281458244, abben_anna , , ,,,,,,,
4426,4205558091, Gayleramsey11 , , ,,,,,,,
4427,2785095528, skookerG , United States, United States,,,,,,,
4428,1214496452, syd_wow , fuckin oatmeal texas , fuckin oatmeal, texas ,,,,,,
4429,7.06389E+17, debbie_groves1 , , ,,,,,,,
4430,32240593, Cronikeys , Indianapolis IN, Indianapolis, IN,,,,,,
4431,561853655, SRMooreSr , SE GA - Coastal Empire, SE GA - Coastal Empire,,,,,,,
4432,3343856714, SandraRodkey , , ,,,,,,,
4433,4855587569, MoniqueCook20 , Virginia USA, Virginia, USA,,,,,,
4434,4857707848, dharris1542 , , ,,,,,,,
4435,931310701, vividiaz1126 , miami fl, miami, fl,,,,,,
4436,3170692550, KermitTheKush , , ,,,,,,,
4437,415818774, ManDexler , Hill Valley CA, Hill Valley, CA,,,,,,
4438,234026177, loookimsowhite , #SavageSquad, #SavageSquad,,,,,,,
4439,332977126, collynkitten , Nacogdoches TX, Nacogdoches, TX,,,,,,
4440,3151821750, CharlotteOnder1 , NEOhio, NEOhio,,,,,,,
4441,755829696, ColleenFellows , Boise Idaho USA, Boise, Idaho, USA,,,,,
4442,2191480628, heathrlv , , ,,,,,,,
4443,997600489, rob_2512 , Bainbridge Island Wa. 98110, Bainbridge Island Wa. 98110,,,,,,,
4444,7.03048E+17, ohiorepubmom , , ,,,,,,,
4445,102979557, karangRN , Hilo Hawai'i, Hilo, Hawai'i,,,,,,
4446,334360002, DrGarnicus , , ,,,,,,,
4447,3277908812, FindinNV , Nevada, Nevada,,,,,,,
4448,461317923, ciara_henson , , ,,,,,,,
4449,4917092018, puppymnkey , , ,,,,,,,
4450,1564118778, dannybradley56 , Lakewood CA, Lakewood, CA,,,,,,
4451,154228382, glassyelegance , Florissant Co, Florissant, Co,,,,,,
4452,145637523, dhowell3577 , San Antonio Texas, San Antonio, Texas,,,,,,
4453,3315515508, NewNarrativeNow , Los Angeles CA, Los Angeles, CA,,,,,,
4454,347627434, LindaSuhler , God Bless America!, God Bless America!,,,,,,,
4455,299945488, Eat_shit_obama , California USA, California, USA,,,,,,
4456,2587548721, MickClm , Les Autres , Les Autres ,,,,,,,
4457,378328230, CallMeMC , , ,,,,,,,
4458,847854955, SBJDFW , Texas, Texas,,,,,,,
4459,1683322309, annykat41 , Florida, Florida,,,,,,,
4460,783350828, DStoLer86 , Coral Springs FL, Coral Springs, FL,,,,,,
4461,2884075929, Aedavisnh , , ,,,,,,,
4462,4852013265, HannibalBarca65 , , ,,,,,,,
4463,536605175, Draigwenci , , ,,,,,,,
4464,321353408, ISCOSEU , International, International,,,,,,,
4465,748683860, krantzilla , , ,,,,,,,
4466,25889712, tlwry , , ,,,,,,,
4467,2330112218, CryptoCoda , 9/11 - The Truth In 5 Minutes , 9/11 - The Truth In 5 Minutes ,,,,,,,
4468,584370853, PoQNDI , United States, United States,,,,,,,
4469,2587548721, MickClm , Les Autres , Les Autres ,,,,,,,
4470,7.0514E+17, NeverTrumpGear , , ,,,,,,,
4471,3138486678, NeverHillary75 , Oregon USA, Oregon, USA,,,,,,
4472,4180736069, ofpeopl , Virginia, Virginia,,,,,,,
4473,7.03756E+17, SirDire , United States, United States,,,,,,,
4474,2776376446, unameitdestin , Florida USA, Florida, USA,,,,,,
4475,2743638914, DGotGame22 , Chicago to Dallas, Chicago to Dallas,,,,,,,
4476,4817499936, HTCOKLLC , Oklahoma USA, Oklahoma, USA,,,,,,
4477,2338844280, Writer_Yula , Purple in a Deep Red State, Purple in a Deep Red State,,,,,,,
4478,348931718, _brarm_ , , ,,,,,,,
4479,7.07026E+17, Ann_B_Barber , , ,,,,,,,
4480,6.9622E+17, gregmcup24 , , ,,,,,,,
4481,29383667, ImSeanO , Manhattan NY, Manhattan, NY,,,,,,
4482,999274772, aviramof , , ,,,,,,,
4483,935013020, tcoop2577 , , ,,,,,,,
4484,39574828, JamesA46 , , ,,,,,,,
4485,885928032, Lucia_M_J , , ,,,,,,,
4486,3400413867, MikeMedavoy , , ,,,,,,,
4487,3351519664, FairTaxNancy001 , , ,,,,,,,
4488,3062220513, daisyridIeyx , wakanda, wakanda,,,,,,,
4489,1527876422, Biglued1 , Texas USA, Texas, USA,,,,,,
4490,2696042526, katscags62 , , ,,,,,,,
4491,91842993, nanopatents , United States, United States,,,,,,,
4492,7.011E+17, garynsancy123 , , ,,,,,,,
4493,3226368062, GaryLaprell , Colorado USA, Colorado, USA,,,,,,
4494,367271007, sandralhanlon , St Peters MO, St Peters, MO,,,,,,
4495,845690522, SweetzonWheels , I'm an American! Christ died on the cross for my sins! Liberals hate me lol even though I have been a card carrying dem at one time.  Then I woke up!, I'm an American! Christ died on the cross for my sins! Liberals hate me lol even though I have been a card carrying dem at one time.  Then I woke up!,,,,,,,
4496,7.15724E+17, PinkPri25886286 , , ,,,,,,,
4497,393190233, LeahR77 ,  AZ,  AZ,,,,,,,
4498,860746436, KevinGatachica , CALIFORNIA, CALIFORNIA,,,,,,,
4499,776320789, MiguelSyjuco , , ,,,,,,,
4500,376004201, Obetron1967 , Texas USA, Texas, USA,,,,,,
4501,23268382, Beylotte , Sugar Land TX , Sugar Land TX ,,,,,,,
4502,1296357414, smellyfed , #CONSERVATIVE, #CONSERVATIVE,,,,,,,
4503,7.05939E+17, sane_american , , ,,,,,,,
4504,1666732292, TheApplause_ , , ,,,,,,,
4505,96476138, ConfidelnMe , California, California,,,,,,,
4506,809402977, FedUpReport , USA, USA,,,,,,,
4507,422974854, CecileCallis , Sandhills, Sandhills,,,,,,,
4508,164512517, Noland_nyc , Brooklyn NYC, Brooklyn, NYC,,,,,,
4509,56182797, dafnez , México, México,,,,,,,
4510,584370853, PoQNDI , United States, United States,,,,,,,
4511,4897042768, GoKasichGo , Wisconsin USA, Wisconsin, USA,,,,,,
4512,60984688, InCityBlues , , ,,,,,,,
4513,4910340778, ohio_trump , Ohio USA, Ohio, USA,,,,,,
4514,4852064433, intgmatters , , ,,,,,,,
4515,30418447, SashaSjam , yajiada, yajiada,,,,,,,
4516,3402676565, renegadegrl , , ,,,,,,,
4517,4625711548, MD4Kasich , , ,,,,,,,
4518,4826898140, LittleWheeler73 , Ermagerd, Ermagerd,,,,,,,
4519,2985114214, MarquitaChisho1 , Ohio USA, Ohio, USA,,,,,,
4520,2724558295, kendallo36 , , ,,,,,,,
4521,72717549, SassyPantsjj , USA, USA,,,,,,,
4522,564947756, Dark_Red_Hair , , ,,,,,,,
4523,4847781730, Casey5Zimmer , Missouri USA, Missouri, USA,,,,,,
4524,2175192882, BigKahuna919191 , , ,,,,,,,
4525,132970227, EllaBraigen , NY, NY,,,,,,,
4526,11579452, vocera , Phoenix/Chandler Ariz. , Phoenix/Chandler, Ariz. ,,,,,,
4527,4917092018, puppymnkey , , ,,,,,,,
4528,2379039350, exoticfatguy_ , TX, TX,,,,,,,
4529,221080672, UtraveliWork , I Emit therefore I am, I Emit, therefore I am,,,,,,
4530,71910650, Bing7557 , The Land of MAss Stupidity, The Land of MAss Stupidity,,,,,,,
4531,28273116, joyreaper , , ,,,,,,,
4532,963429584, theschobes_1 , United States, United States,,,,,,,
4533,95354681, wivoutadoubt , , ,,,,,,,
4534,2566688382, matt768 , , ,,,,,,,
4535,46222534, alvaropizza , , ,,,,,,,
4536,803856074, sheppmrtx , , ,,,,,,,
4537,467686487, Cadams59 , Follower of Christ , Follower of Christ ,,,,,,,
4538,2209322498, signalhz , , ,,,,,,,
4539,2730445832, FireGod6371 , #LAisHELL #LAsuxKRAP #NiggerLA, #LAisHELL #LAsuxKRAP #NiggerLA,,,,,,,
4540,564947756, Dark_Red_Hair , , ,,,,,,,
4541,909429824, SandraHartle , Washington, Washington,,,,,,,
4542,1096185936, wsoswald_ , , ,,,,,,,
4543,503167978, stevemcd52 , Republic of Texas, Republic of Texas,,,,,,,
4544,2889924959, TrueFactsStated , undisclosed location near DC, undisclosed location near DC,,,,,,,
4545,755864660, MathFaithWorks , Alexandria Virginia, Alexandria, Virginia,,,,,,
4546,4854541359, SherriHilliard , , ,,,,,,,
4548,341191499, otkkane , Hawaii USA, Hawaii, USA,,,,,,
4549,381622808, madaecnerwal , nyc's lower east side, nyc's lower east side,,,,,,,
4550,2825364882, DunningRandall , Garland Texas Dallas County, Garland Texas, Dallas County,,,,,,
4551,569659612, RKFollowsChrist , USA, USA,,,,,,,
4552,54096689, catydoodle , Southeastern United States, Southeastern United States,,,,,,,
4553,15221950, TheSwagger , Sector ZZ9 Plural Z Alpha, Sector ZZ9 Plural Z Alpha,,,,,,,
4554,17878322, cthagod , Under Your Skin, Under Your Skin,,,,,,,
4555,14769239, nickmartin , New York City, New York City,,,,,,,
4556,2712995587, lSO_LEE , , ,,,,,,,
4557,3375030736, BeaBusyasabeeee , United States, United States,,,,,,,
4558,330623773, JRGrayThunder , Near the *OK=TX* Border Out in the Wild WILD West, Near the *OK=TX* Border Out in the Wild, WILD West,,,,,,
4559,107861626, RAE_BK , BROOKLYN NY, BROOKLYN, NY,,,,,,
4560,2451732978, jwhite2341 , , ,,,,,,,
4561,2994028141, wattalivin979 , FreeportTx, Freeport,Tx,,,,,,
4562,221556109, realestateonlbi , Long Beach Island NJ, Long Beach Island NJ,,,,,,,
4563,362027898, TexanIndiana , USA, USA,,,,,,,
4564,4906932874, TylerBoliver , , ,,,,,,,
4565,21695164, CyborgN8VMari , Orbiting Saturn (Denver), Orbiting Saturn (Denver),,,,,,,
4566,492300217, KeniticChoy , Connect The World, Connect The World,,,,,,,
4567,2972624471, hanktastic1776 , Rightsideup, Rightsideup,,,,,,,
4568,17144986, NDD_ESQUIRE , The Beach, The Beach,,,,,,,
4569,2458410882, MsContrarianSci , North America, North America,,,,,,,
4570,30155403, TAFORU , , ,,,,,,,
4571,2334487293, _lindseyreilly , coniston, coniston,,,,,,,
4572,1027809378, KevinBooker206 , Bellevue WA, Bellevue, WA,,,,,,
4573,4765070485, DonaldjBismarck , , ,,,,,,,
4574,821660419, gvhorn1 , , ,,,,,,,
4575,2842388038, DaeshPussy , United States of America, United States of America,,,,,,,
4576,4005092840, Aroyaldmd , Alaska USA, Alaska, USA,,,,,,
4577,273190130, wildcatcrazyone , , ,,,,,,,
4578,4633519768, EmryKat , , ,,,,,,,
4579,7.03685E+17, JacquelineLubr1 , Everywhere USA, Everywhere, USA,,,,,,
4580,771954126, TJShannon1 , Texas, Texas,,,,,,,
4581,1246746566, TryskaDecaphile , East Point GA, East Point GA,,,,,,,
4582,3562391899, BuddyAdams3 , Texas USA, Texas, USA,,,,,,
4583,1334676336, KingFridaytcot , , ,,,,,,,
4584,2781126390, martinjudy46 , Tucson AZ, Tucson, AZ,,,,,,
4585,24232665, kathyb1953 , ÜT: 35.081182-118.170893, ÜT: 35.081182,-118.170893,,,,,,
4586,414847272, DoeyFD17 , MISSISSIPPI, MISSISSIPPI,,,,,,,
4587,4851646786, grammybijou3 , , ,,,,,,,
4588,886615003, WesterosID , Jakarta, Jakarta,,,,,,,
4589,1547012486, Benj_oman , White Sox & Blackhawk Country, White Sox & Blackhawk Country,,,,,,,
4590,320917731, IcemanDaGenius , Willow Springs NC, Willow Springs, NC,,,,,,
4591,4838814747, NancyMcAnally , Houston TX, Houston, TX,,,,,,
4592,3442719014, AllanDudley3 , USA, USA,,,,,,,
4593,2404578577, erinlikesitblue , , ,,,,,,,
4594,3126961010, atropineman1991 , , ,,,,,,,
4595,2749568153, nadaaax0 , , ,,,,,,,
4596,2269462257, FredyHernan9 , , ,,,,,,,
4597,6861302, animatedtrigger , Bristol Virginia, Bristol, Virginia,,,,,,
4598,26137474, PolitiwhatBlog , G1: 47.6176-122.3285, G1: 47.6176,-122.3285,,,,,,
4599,283832151, Morgan_Chatham , United States, United States,,,,,,,
4600,485757057, TheSoupJC , TR                 Kean, TR                 Kean,,,,,,,
4601,382209139, pkjmaf58 , , ,,,,,,,
4602,535117610, RichardMabery3 , Los Angeles CA, Los Angeles, CA,,,,,,
4603,94086141, realTenaciousB , Georgia USA, Georgia, USA,,,,,,
4604,3103732104, Space4Cruz , Texas, Texas,,,,,,,
4605,30779468, Kaliburger , Southwest , Southwest ,,,,,,,
4606,3961381816, RgnPetkeeper , Florida USA, Florida, USA,,,,,,
4607,576790596, geoduck_cf4l , Seattle WA, Seattle, WA,,,,,,
4608,708078260, Morg_Crookston , Utah, Utah,,,,,,,
4609,51967388, sag2horses , Jacksonville Fl., Jacksonville, Fl.,,,,,,
4610,7771842, objkshn , San Diego, San Diego,,,,,,,
4611,4871147014, CosimoBellanto3 , , ,,,,,,,
4612,3008665736, RNRTennessee , Tennessee, Tennessee,,,,,,,
4613,102268046, ibnzakuan , KL, KL,,,,,,,
4614,2372915137, alternativeRNC , , ,,,,,,,
4615,2887967069, ScornedPatriot , Gatlinburg Tennessee USA, Gatlinburg, Tennessee USA,,,,,,
4616,1388117563, LO_forever_VE , Hogwarts, Hogwarts,,,,,,,
4617,4800678578, TrumpIsObama , #ChickenTrump , #ChickenTrump ,,,,,,,
4618,358918792, BMLewis2 , , ,,,,,,,
4619,36133146, grolaw , Rowland Heights CA, Rowland Heights, CA,,,,,,
4620,3019431692, kavgoov1960 , , ,,,,,,,
4621,3023471786, epeakwisconsin , Madison , Madison ,,,,,,,
4622,172303170, sandiegopost , San Diego CA, San Diego, CA,,,,,,
4623,331208638, newjerseyepeak , Trenton NJ, Trenton, NJ,,,,,,
4624,227741628, louisianapostz , , ,,,,,,,
4625,3023467190, epeaktenn , , ,,,,,,,
4626,2882525451, epeakindi , , ,,,,,,,
4627,533248009, epeakdallas , , ,,,,,,,
4628,4872046623, anzaharova95318 , , ,,,,,,,
4629,4872164356, ditimofeeva4946 , , ,,,,,,,
4630,4872101783, vagrigoreva5245 , , ,,,,,,,
4631,4872162052, gadavydova48495 , , ,,,,,,,
4632,2824662074, epeakphilly , , ,,,,,,,
4633,4855044009, rimelnikova8757 , , ,,,,,,,
4634,4855044964, lifomina44795 , , ,,,,,,,
4635,2245899935, onorPeaks , , ,,,,,,,
4636,787981196, CathyHolladay1 , Dallas Texas, Dallas, Texas,,,,,,
4637,98047247, hanin03 , Dubai, Dubai,,,,,,,
4638,21147939, Pastafarian1964 , Some where over the Rainbow , Some where over the Rainbow ,,,,,,,
4639,452537560, J_TOLS , , ,,,,,,,
4640,4315370414, thunderstruckcp , Texas USA, Texas, USA,,,,,,
4641,523932052, RFriar , San Francisco Ca, San Francisco, Ca,,,,,,
4642,69403710, SoTrophyHntrs , Georgia USA, Georgia, USA,,,,,,
4643,3428071973, GregorySherry5 , Central Florida, Central Florida,,,,,,,
4644,3733557077, UcanBpermanent , Washington DC, Washington, DC,,,,,,
4645,1625882220, HaroldWinship , Bedlam, Bedlam,,,,,,,
4646,4439316435, trendkill_x , , ,,,,,,,
4647,1144118802, ThePepperDog313 , , ,,,,,,,
4648,3440693962, bigboater88 , Tampa FL, Tampa, FL,,,,,,
4649,1388117563, LO_forever_VE , Hogwarts, Hogwarts,,,,,,,
4650,184987685, wonkchok , California USA, California, USA,,,,,,
4651,3318605471, StarvingWriter_ , Manhattan NY, Manhattan, NY,,,,,,
4652,53539911, bcoleintn , Tennessee, Tennessee,,,,,,,
4653,3345779998, KS_Lutolf , Kansas USA, Kansas, USA,,,,,,
4654,2159956147, chris883388 , , ,,,,,,,
4655,581942529, cheryl42058 , Western Ky, Western Ky,,,,,,,
4656,3669231501, DurinnMcfurren , , ,,,,,,,
4657,3033714711, samanthab_99 , , ,,,,,,,
4658,1895204172, kimbers671 , North Idaho, North Idaho,,,,,,,
4659,3886006265, JoeyJoj40863051 , , ,,,,,,,
4660,415175014, MiriamRoseMc , Northern Michigan, Northern Michigan,,,,,,,
4661,413734185, BeccaFranks22 , , ,,,,,,,
4662,454513795, ChooseToBFree , Fld by Hannity JPost etc., Fld by Hannity, JPost, etc.,,,,,
4663,1658365022, Tea4maryland , , ,,,,,,,
4664,15113653, kennyjacobs , , ,,,,,,,
4665,4838814747, NancyMcAnally , Houston TX, Houston, TX,,,,,,
4666,164342281, rbassett52 , Florida, Florida,,,,,,,
4667,154938143, BanditGolf , , ,,,,,,,
4668,118048366, Sandee9378 , , ,,,,,,,
4669,28556236, tigger_porn , , ,,,,,,,
4670,69403710, SoTrophyHntrs , Georgia USA, Georgia, USA,,,,,,
4671,2712850585, AngelicMark , San Diego CA, San Diego, CA,,,,,,
4672,2209834104, KailahKraus , Cibolo TX, Cibolo, TX,,,,,,
4673,23485514, thetalentscout , California, California,,,,,,,
4674,154938143, BanditGolf , , ,,,,,,,
4675,3344285534, kyieshajjohnson , somewhere coolin , somewhere coolin ,,,,,,,
4676,864819445, volpappaw , The Mountains of Tennessee, The Mountains of Tennessee,,,,,,,
4677,3424241421, Kennamitchem1 , Belleview FL, Belleview, FL,,,,,,
4678,3044625325, ConservaGrrl , Kailua HI, Kailua, HI,,,,,,
4679,818763368, OberbroecklingS , Ames Iowa, Ames, Iowa,,,,,,
4680,15237081, jasonebeling , iPhone: 0.0000000, iPhone: 0.000000,0,,,,,,
4681,2397925652, KateMills1234 , , ,,,,,,,
4682,2873266341, mathteacherjedi , Roslindale MA, Roslindale, MA,,,,,,
4683,54391097, gabe1925 , , ,,,,,,,
4684,62620053, tetojose , , ,,,,,,,
4685,3855807508, Cowboy201274 , , ,,,,,,,
4686,7.1362E+17, AlphaMaleLeader , , ,,,,,,,
4687,1029784741, soilsurgen , Lake City Colorado, Lake City Colorado,,,,,,,
4688,224666883, jeffreadwrite , In my head thinking USA., In my head, thinking, USA.,,,,,
4689,2751411706, Didi_Cadena , , ,,,,,,,
4690,3282583820, ruth_elissa , facebook ruthelisabeth urbina, facebook ruthelisabeth urbina,,,,,,,
4691,4498095274, matthew_laramie , , ,,,,,,,
4692,224666883, jeffreadwrite , In my head thinking USA., In my head, thinking, USA.,,,,,
4693,24658978, alycialeah , Texas, Texas,,,,,,,
4694,441251850, OverTheMoonbat , , ,,,,,,,
4695,165783048, jocelyncoppock , Virginia Beach VA, Virginia Beach, VA,,,,,,
4696,224666883, jeffreadwrite , In my head thinking USA., In my head, thinking, USA.,,,,,
4697,3297626120, dividedwefall13 , Florida USA, Florida, USA,,,,,,
4698,909448512, AnitaDWhitee , United States, United States,,,,,,,
4699,931486945, SandyEgoCali , , ,,,,,,,
4700,529450596, ingloriousBOH , IRL--specifically central MD., IRL--specifically central MD.,,,,,,,
4701,443239338, ishavelli97 , tx, tx,,,,,,,
4702,2403318534, jantheman99_ , Cincinnati OH, Cincinnati, OH,,,,,,
4703,27901877, Alisand3 , California , California ,,,,,,,
4704,35627887, umudim , , ,,,,,,,
4705,242376599, confederategrl , , ,,,,,,,
4706,260567394, buttsplc05 , Qui Tacet Consentire Videtur, Qui Tacet Consentire Videtur,,,,,,,
4707,3685052935, AlDubest2Evry1 , BUILD THE WALL, BUILD THE WALL,,,,,,,
4708,96323946, kelvw , Hong Kong, Hong Kong,,,,,,,
4709,186278633, sunshinette , rt behind you, rt behind you,,,,,,,
4710,15751988, rantg1 , LosAngeles #BoyleHeights #DTLA, LosAngeles #BoyleHeights #DTLA,,,,,,,
4711,4853913459, Kathy73942403 , Massachusetts USA, Massachusetts, USA,,,,,,
4712,7.02826E+17, libertygrannyma , , ,,,,,,,
4713,2213979796,1968105, , ,,,,,,,
4714,590156804, New0rleans_Lady , SouthUSA, South,USA,,,,,,
4715,24658978, alycialeah , Texas, Texas,,,,,,,
4716,624662531, TTimeOnThe19th , , ,,,,,,,
4717,1484234522, La_PlumeduSinge , Monde, Monde,,,,,,,
4718,7.11649E+17, ReneeofSoCalif , inland empire, inland empire,,,,,,,
4719,171259969, brendonherring , , ,,,,,,,
4720,7.1064E+17, DayZeesNap , , ,,,,,,,
4721,3317212730, gary_causer , Arizona USA, Arizona, USA,,,,,,
4722,16863762, savvyconsumer7 , U.S.A., U.S.A.,,,,,,,
4723,4705502727, SJB6991 , United Kingdom, United Kingdom,,,,,,,
4724,405561109, retiredfirstsgt , Perth Amboy NJ, Perth Amboy NJ,,,,,,,
4725,3317627965, ShotsRangOut , USA , USA ,,,,,,,
4726,49955129, Coachwoods14 , Indiana USA, Indiana, USA,,,,,,
4727,866152442, rarebearclare , Woodstock , Woodstock ,,,,,,,
4728,3309967506, AmyRose77253769 , , ,,,,,,,
4729,2715954007, GAS3677 , Flyover Country, Flyover Country,,,,,,,
4730,3073529252, winegeeker , Naples Florida, Naples Florida,,,,,,,
4731,891114542, gmiller1952 , , ,,,,,,,
4732,4121502046, mychloegirl6124 , , ,,,,,,,
4733,976570982, capnkirk1701 , , ,,,,,,,
4734,53337002, lenaluvsyew , Iowa, Iowa,,,,,,,
4735,2896439073, dsshep1959 , California USA, California, USA,,,,,,
4736,7.03823E+17, Mtneer1869 , Barboursville WV, Barboursville, WV,,,,,,
4737,3580385187, trumpsterMG , Washington DC, Washington, DC,,,,,,
4738,2531349487, awkwardsumner , Dublin Georgia, Dublin, Georgia,,,,,,
4739,1119327475, MCPR1_1 , Iowa except in August, Iowa, except in August,,,,,,
4740,446431646, chardadlie , still out in the cornfield..., still out in the cornfield...,,,,,,,
4741,1692519312, themjays19 , Toronto Ontario, Toronto, Ontario,,,,,,
4742,53056010, Allnkat , Oklahoma, Oklahoma,,,,,,,
4743,6724252, kerpen , DC, DC,,,,,,,
4744,2868011398, akanicsdad , INDIANA , INDIANA ,,,,,,,
4745,208655063, oregonianstump , Portland Oregon USA, Portland, Oregon, USA,,,,,
4746,2999497440, BactiveorBquiet , Michigan, Michigan,,,,,,,
4747,1967676368, EDGAurora , Rhode Island, Rhode Island,,,,,,,
4748,1115827825, crankybecky , Native Texan in North Carolina, Native Texan in North Carolina,,,,,,,
4749,3314578237, Signs4Cruz , United States, United States,,,,,,,
4750,4851547437, jmpfefferkorn , California USA, California, USA,,,,,,
4751,864027450, NollPaula , , ,,,,,,,
4752,419733488, nataliemjb , Hyde Park NY, Hyde Park, NY,,,,,,
4753,2258027514, BehanJoseph47 , Huntington Beach CA, Huntington Beach, CA,,,,,,
4754,58601435, LynnHulseyDDN , Dayton Ohio, Dayton, Ohio,,,,,,
4755,2789078416, kohlvehicle , Philadelphia PA, Philadelphia, PA,,,,,,
4756,68698563, america_trump ,  U S A,  U S A,,,,,,,
4757,3382396089, atticsonline , Michigan USA, Michigan, USA,,,,,,
4758,7.05163E+17, JohnCampbell007 , Charleston SC, Charleston, SC,,,,,,
4759,426744815, JohnjJojnson , Mississippi USA, Mississippi, USA,,,,,,
4760,4035272183, CCPAC4Cruz , USA, USA,,,,,,,
